EmployeeKey|EmployeeID|Title|UPN|Salesperson
272|502097814|North American Sales Manager|stephen-jiang@adventureworks.com|Stephen Jiang
277|112432117|Director of Sales|brian-welcker@adventureworks.com|Brian Welcker
281|841560125|Sales Representative|michael-blythe@adventureworks.com|Michael Blythe
282|191644724|Sales Representative|linda-mitchell@adventureworks.com|Linda Mitchell
283|615389812|Sales Representative|jillian-carson@adventureworks.com|Jillian Carson
284|234474252|Sales Representative|garrett-vargas@adventureworks.com|Garrett Vargas
285|716374314|Sales Representative|tsvi-reiter@adventureworks.com|Tsvi Reiter
286|61161660|Sales Representative|pamela-ansman-wolfe@adventureworks.com|Pamela Ansman-Wolfe
287|139397894|Sales Representative|shu-ito@adventureworks.com|Shu Ito
288|399771412|Sales Representative|jose-saraiva@adventureworks.com|José Saraiva
289|987554265|Sales Representative|david-campbell@adventureworks.com|David Campbell
290|982310417|European Sales Manager|amy-alberts@adventureworks.com|Amy Alberts
291|668991357|Sales Representative|jae-pak@adventureworks.com|Jae Pak
292|134219713|Sales Representative|ranjit-varkey-chudukatil@adventureworks.com|Ranjit Varkey Chudukatil
293|90836195|Sales Representative|tete-mensa-annan@adventureworks.com|Tete Mensa-Annan
294|481044938|Pacific Sales Manager|syed-abbas@adventureworks.com|Syed Abbas
295|954276278|Sales Representative|rachel-valdez@adventureworks.com|Rachel Valdez
296|758596752|Sales Representative|lynn-tsoflias@adventureworks.com|Lynn Tsoflias
